activity,n,body_axis_mean,pitch_mean,spine_mean,arm_mean,h2h_mean,wrist_h_mean,wrist_z_mean,wrist_x_mean
Watching,17,174.1,25.2,2.3,27.0,0.532,0.024,0.072,0.168
SittingDrink,22,169.0,29.5,5.4,51.3,0.460,0.219,0.181,0.125
Cleaning,16,168.2,37.5,2.4,30.7,0.599,0.051,0.167,0.104
PhoneUse,5,175.5,32.3,1.3,35.5,0.385,0.101,0.125,0.102
Eating,24,171.2,31.7,5.3,44.7,0.425,0.143,0.129,0.196
Drinking,11,172.6,16.7,3.2,25.7,0.510,-0.007,0.067,0.165
Cooking,17,173.6,28.2,2.5,35.1,0.425,0.098,0.098,0.203
Laying,12,173.9,25.0,2.2,23.1,0.526,0.046,0.636,0.838
Reading,10,171.7,42.9,2.9,25.1,0.504,0.029,0.120,0.155
Sitting,12,175.7,17.0,2.0,38.5,0.595,0.051,0.232,0.150
